Definição Synset,ID Synset,Definição Relacionada,ID Relacionada,Relação
care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),treatment.n.01,a method of treating disease using food and exercise and heat to assist the natural healing process,naturopathy.n.01,Hyponyms
care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),treatment.n.01,dental treatment that corrects irregularities of the teeth or of the relation of the teeth to surrounding anatomy; treatment is usually by braces or mechanical aids,orthodontic_treatment.n.01,Hyponyms
care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),treatment.n.01,treatment of defects of binocular vision (such as strabismus and amblyopia) by nonsurgical measures (especially by exercises to strengthen the eye muscles),orthoptics.n.01,Hyponyms
care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),treatment.n.01,treatment of a skeletal deformity by intentionally fracturing a bone,osteoclasis.n.01,Hyponyms
care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),treatment.n.01,therapy based on the assumption that restoring health is best accomplished by manipulating the skeleton and muscles,osteopathy.n.01,Hyponyms
care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),treatment.n.01,rest as a medical treatment for stress or anxiety etc.,rest-cure.n.01,Hyponyms
go at a pace,pace.v.02,"change location; move, travel, or proceed, also metaphorically",travel.v.01,Hypernyms
go at a pace,pace.v.02,"go at a canter, of horses",canter.v.02,Hyponyms
go at a pace,pace.v.02,go at galloping speed,gallop.v.02,Hyponyms
go at a pace,pace.v.02,go at a rack,single-foot.v.01,Hyponyms
go at a pace,pace.v.02,walk at a pace,walk.v.08,Hyponyms
plate iron that is thinner than boilerplate but thicker than sheet iron or stovepipe iron,tank_iron.n.01,a plate of iron,plate_iron.n.01,Hypernyms
small genus of terrestrial orchids of Europe and Mediterranean region,himantoglossum.n.01,genus of flowering plants having a single cotyledon (embryonic leaf) in the seed,monocot_genus.n.01,Hypernyms
mix in specific proportions,gauge.v.06,mix together different elements,blend.v.03,Hypernyms
loosen by turning,unscrew.v.02,make loose or looser,loosen.v.01,Hypernyms
either of two soft fleshy milk-secreting glandular organs on the chest of a woman,breast.n.02,milk-secreting organ of female mammals,mammary_gland.n.01,Hypernyms
a member of an early Mesoamerican civilization centered around Veracruz that flourished between 1300 and 400 BC,olmec.n.01,a member of the race of people living in America when Europeans arrived,indian.n.01,Hypernyms
visual examination (with a sigmoidoscope) of the lower third of the colon in a search for polyps,sigmoidoscopy.n.01,visual examination of the interior of a hollow body organ by use of an endoscope,endoscopy.n.01,Hypernyms
floating leaves of a water lily,lily_pad.n.01,the large floating leaf of an aquatic plant (as the water lily),pad.n.02,Hypernyms
(Marxism) the unorganized lower levels of the proletariat who are not interested in revolutionary advancement,lumpenproletariat.n.01,a social class comprising those who do manual labor or work for wages,labor.n.01,Hypernyms
all of the points of the physical environment that can be perceived by a stable eye at a given moment,visual_field.n.01,a percept that arises from the eyes; an image in the visual system,visual_percept.n.01,Hypernyms
gush or squirt out,whoosh.v.03,gush forth in a sudden stream or jet,spurt.v.01,Hypernyms
a charity that is deemed to receive the major part of its support from the public (rather than from a small group of individuals),public_charity.n.01,a foundation created to promote the public good (not for assistance to any particular individuals),charity.n.01,Hypernyms
inject with libidinal energy,cathect.v.01,cause to be alert and energetic,stimulate.v.04,Hypernyms
the act of making someone poor,pauperization.n.02,act of depriving someone of food or money or rights,privation.n.02,Hypernyms
food that fulfills the requirements of Jewish dietary law,kosher.n.01,a source of materials to nourish the body,nutriment.n.01,Hypernyms
a toy English spaniel with a black-and-tan coat; named after Charles II who popularized it,king_charles_spaniel.n.01,a very small spaniel,toy_spaniel.n.01,Hypernyms
(computer science) the processing time required by a device prior to the execution of a command,command_processing_overhead_time.n.01,the time it takes to complete a prescribed procedure,processing_time.n.01,Hypernyms
a person who travels through the water by swimming,swimmer.n.02,a person who changes location,traveler.n.01,Hypernyms
a person who travels through the water by swimming,swimmer.n.02,a swimmer who floats in the water,floater.n.06,Hyponyms
a person who travels through the water by swimming,swimmer.n.02,an underwater swimmer equipped with a face mask and foot fins and either a snorkel or an air cylinder,skin-diver.n.01,Hyponyms
a person who travels through the water by swimming,swimmer.n.02,someone who engages in surfboarding,surfer.n.01,Hyponyms
become or cause to become unobstructed,unclog.v.01,free or remove obstruction from,free.v.07,Hypernyms
shape or form or make badly,miscreate.v.01,shape or influence; give direction to,determine.v.02,Hypernyms
an engineer concerned with the construction and operation of mines,mining_engineer.n.01,a person who uses scientific knowledge to solve practical problems,engineer.n.01,Hypernyms
the cardinal number that is the product of ten and nine,ninety.n.01,an integer equal to or greater than ten,large_integer.n.01,Hypernyms
cause to disbelieve; teach someone the contrary of what he or she had learned earlier,unteach.v.01,impart skills or knowledge to,teach.v.01,Hypernyms
an artificial language,solresol.n.01,a language that is deliberately created for a specific purpose,artificial_language.n.01,Hypernyms
tissue between the cells of a structure or part in plant or animal,interstitial_tissue.n.01,the tissue in the bodies of animals,animal_tissue.n.01,Hypernyms
tissue between the cells of a structure or part in plant or animal,interstitial_tissue.n.01,the tissue of a plant,plant_tissue.n.01,Hypernyms
tissue between the cells of a structure or part in plant or animal,interstitial_tissue.n.01,sustentacular tissue that surrounds and supports neurons in the central nervous system; glial and neural cells together compose the tissue of the central nervous system,neuroglia.n.01,Hyponyms
the ceremonial act of clothing someone in the insignia of an office; the formal promotion of a person to an office or rank,investment.n.06,act of raising in rank or position,promotion.n.02,Hypernyms
the decade from 1980 to 1989,eighties.n.02,a period of 10 years,decade.n.01,Hypernyms
(computer science) a list of options available to a computer user,menu.n.03,a database containing an ordered array of items (names or topics),list.n.01,Hypernyms
(computer science) a list of options available to a computer user,menu.n.03,a menu of options that appears below the item when the computer user clicks on it,drop-down_menu.n.01,Hyponyms
(computer science) a list of options available to a computer user,menu.n.03,a secondary menu that appears while you are holding the cursor over an item on the primary menu,hierarchical_menu.n.01,Hyponyms
one who practices onomancy,onomancer.n.01,someone who claims to discover hidden knowledge with the aid of supernatural powers,diviner.n.01,Hypernyms
a carnival held in some countries on Shrove Tuesday (the last day before Lent) but especially in New Orleans,mardi_gras.n.02,a festival marked by merrymaking and processions,carnival.n.01,Hypernyms
a sculpture of the head and shoulders of a person,bust.n.03,a three-dimensional work of plastic art,sculpture.n.01,Hypernyms
a native or resident of Texas,texan.n.01,a native or inhabitant of the United States,american.n.01,Hypernyms
put a jacket on,jacket.v.02,provide with clothes or put clothes on,dress.v.02,Hypernyms
a greyish brown,taupe.n.01,an orange of low brightness and saturation,brown.n.01,Hypernyms
the spread or transmission of something (as news or money) to a wider group or area,circulation.n.06,act of extending over a wider scope or expanse of space or time,spread.n.10,Hypernyms
the spread or transmission of something (as news or money) to a wider group or area,circulation.n.06,circulation again,recirculation.n.01,Hyponyms
a formal reception of visitors or guests (as at a royal court),levee.n.01,a formal party of people; as after a wedding,reception.n.02,Hypernyms
insurance that provides protection for the loss of profits and continuing fixed expenses resulting from a break in commercial activities due to the occurrence of a peril,business_interruption_insurance.n.01,promise of reimbursement in the case of loss; paid to people or companies so concerned about hazards that they have made prepayments to an insurance company,insurance.n.01,Hypernyms
